Date,Address,Price,PriceType,attr,Href,Pic_url,House,Floor area,Bedroom,Title type,Garage,Land area,Bathroom,Apartment,Section,Covered park,Townhouse
2021-06-01,"8 Hanham Road, Kumeu, Rodney",1175000.0,cv,"{'House': 'House', 'Bedroom': '3', 'Bathroom': '1', 'Land area': '3328m', 'Garage': '7', 'Covered park': '1'}",https://www.realestate.co.nz/42441499/residential/sale/8-hanham-road-kumeu,"https://mediaserver.realestate.co.nz/listings/42441499/686a06eb792131f77a88578444272c32.crop.10x8.jpg?options=compress,blur",House,,3,,7,3328m,1,,,1,
2023-10-15T00:13:09,"8 Hanham Road, Kumeu, Rodney",1550000.0,current,"{'House': 'House', 'Bedroom': '3', 'Bathroom': '1', 'Land area': '3328m', 'Garage': '7', 'Covered park': '1'}",https://www.realestate.co.nz/42441499/residential/sale/8-hanham-road-kumeu,"https://mediaserver.realestate.co.nz/listings/42441499/686a06eb792131f77a88578444272c32.crop.10x8.jpg?options=compress,blur",House,,3,,7,3328m,1,,,1,
,"9W/45 Randolph Street, Eden Terrace, Auckland City",,,"{'Apartment': 'Apartment', 'Bedroom': '3', 'Bathroom': '2', 'Floor area': '212m', 'Title type': 'Unit Title'}",https://www.realestate.co.nz/42439599/residential/sale/9w-45-randolph-street-eden-terrace,"https://mediaserver.realestate.co.nz/listings/42439599/28531897cc06ac8346930667e69bf01b.crop.10x8.jpg?options=compress,blur",,212m,3,Unit Title,,,2,Apartment,,,
2021-06-01,"65 John Andrew Drive, Warkworth, Rodney",1050000.0,cv,"{'House': 'House', 'Bedroom': '3', 'Bathroom': '1', 'Floor area': '138m', 'Land area': '1105m', 'Title type': 'Freehold', 'Garage': '1'}",https://www.realestate.co.nz/42439713/residential/sale/55-shelly-beach-road-saint-marys-bay,"https://mediaserver.realestate.co.nz/listings/42439713/f5db70079c7a1be30bb5771bb9bde267.crop.10x8.jpg?options=compress,blur",House,138m,3,Freehold,1,1105m,1,,,,
2021-06-01,"65 John Andrew Drive, Warkworth, Rodney",485000.0,cv,"{'House': 'House', 'Bedroom': '3', 'Bathroom': '1', 'Floor area': '138m', 'Land area': '1105m', 'Title type': 'Freehold', 'Garage': '1'}",https://www.realestate.co.nz/42439713/residential/sale/55-shelly-beach-road-saint-marys-bay,"https://mediaserver.realestate.co.nz/listings/42439713/f5db70079c7a1be30bb5771bb9bde267.crop.10x8.jpg?options=compress,blur",House,138m,3,Freehold,1,1105m,1,,,,
2023-10-04T13:57:51,"65 John Andrew Drive, Warkworth, Rodney",1000000.0,current,"{'House': 'House', 'Bedroom': '3', 'Bathroom': '1', 'Floor area': '138m', 'Land area': '1105m', 'Title type': 'Freehold', 'Garage': '1'}",https://www.realestate.co.nz/42439713/residential/sale/55-shelly-beach-road-saint-marys-bay,"https://mediaserver.realestate.co.nz/listings/42439713/f5db70079c7a1be30bb5771bb9bde267.crop.10x8.jpg?options=compress,blur",House,138m,3,Freehold,1,1105m,1,,,,
,"3E/2 Eden Crescent, Auckland Central, Auckland City",,,"{'Apartment': 'Apartment', 'Bedroom': '1', 'Bathroom': '1', 'Floor area': '31m', 'Title type': 'Unit Title'}",https://www.realestate.co.nz/42439017/residential/sale/3e-2-eden-crescent-auckland-central,"https://mediaserver.realestate.co.nz/listings/42439017/116df8e32bb7504332c576dc222627d2.crop.10x8.jpg?options=compress,blur",,31m,1,Unit Title,,,1,Apartment,,,
2019-10-11,"55 Shelly Beach Road, Saint Marys Bay, Auckland City",1865000.0,history,"{'Townhouse': 'Townhouse', 'Bedroom': '3', 'Bathroom': '2', 'Title type': 'Unit Title', 'Garage': '2'}",https://www.realestate.co.nz/42439329/residential/sale/52-richards-avenue-forrest-hill,"https://mediaserver.realestate.co.nz/listings/42439329/2f89ef17186c050fb407bf724901362a.crop.10x8.jpg?options=compress,blur",,,3,Unit Title,2,,2,,,,Townhouse
2018-07-23,"55 Shelly Beach Road, Saint Marys Bay, Auckland City",1839000.0,history,"{'Townhouse': 'Townhouse', 'Bedroom': '3', 'Bathroom': '2', 'Title type': 'Unit Title', 'Garage': '2'}",https://www.realestate.co.nz/42439329/residential/sale/52-richards-avenue-forrest-hill,"https://mediaserver.realestate.co.nz/listings/42439329/2f89ef17186c050fb407bf724901362a.crop.10x8.jpg?options=compress,blur",,,3,Unit Title,2,,2,,,,Townhouse
2006-07-31,"55 Shelly Beach Road, Saint Marys Bay, Auckland City",835000.0,history,"{'Townhouse': 'Townhouse', 'Bedroom': '3', 'Bathroom': '2', 'Title type': 'Unit Title', 'Garage': '2'}",https://www.realestate.co.nz/42439329/residential/sale/52-richards-avenue-forrest-hill,"https://mediaserver.realestate.co.nz/listings/42439329/2f89ef17186c050fb407bf724901362a.crop.10x8.jpg?options=compress,blur",,,3,Unit Title,2,,2,,,,Townhouse
