Date,Address,Price,PriceType,attr,Href,Pic_url
2021-06-01,"151 N 79th St,Seattle, WA 98103",1175000,cv,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""1"", ""Land area"": ""3328m"", ""Garage"": ""7"", ""Covered park"": ""1""}",https://www.realestate.co.nz/42441499/residential/sale/8-hanham-road-kumeu,"https://mediaserver.realestate.co.nz/listings/42441499/686a06eb792131f77a88578444272c32.crop.10x8.jpg?options=compress,blur"
2023-10-15T00:13:09,"151 N 79th St,Seattle, WA 98103",1550000,current,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""1"", ""Land area"": ""3328m"", ""Garage"": ""7"", ""Covered park"": ""1""}",https://www.realestate.co.nz/42441499/residential/sale/8-hanham-road-kumeu,"https://mediaserver.realestate.co.nz/listings/42441499/686a06eb792131f77a88578444272c32.crop.10x8.jpg?options=compress,blur"
,"9454 Olson Pl SW,Seattle, WA 98106",,,"{""Apartment"": ""Apartment"", ""Bedroom"": ""3"", ""Bathroom"": ""2"", ""Floor area"": ""212m"", ""Title type"": ""Unit Title""}",https://www.realestate.co.nz/42439599/residential/sale/9w-45-randolph-street-eden-terrace,"https://mediaserver.realestate.co.nz/listings/42439599/28531897cc06ac8346930667e69bf01b.crop.10x8.jpg?options=compress,blur"
2021-06-01,"133 Queen Anne Ave N #302,Seattle, WA 98109",1050000,cv,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""1"", ""Floor area"": ""138m"", ""Land area"": ""1105m"", ""Title type"": ""Freehold"", ""Garage"": ""1""}",https://www.realestate.co.nz/42439713/residential/sale/55-shelly-beach-road-saint-marys-bay,"https://mediaserver.realestate.co.nz/listings/42439713/f5db70079c7a1be30bb5771bb9bde267.crop.10x8.jpg?options=compress,blur"
2021-06-01,"133 Queen Anne Ave N #302,Seattle, WA 98109",485000,cv,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""1"", ""Floor area"": ""138m"", ""Land area"": ""1105m"", ""Title type"": ""Freehold"", ""Garage"": ""1""}",https://www.realestate.co.nz/42439713/residential/sale/55-shelly-beach-road-saint-marys-bay,"https://mediaserver.realestate.co.nz/listings/42439713/f5db70079c7a1be30bb5771bb9bde267.crop.10x8.jpg?options=compress,blur"
2023-10-04T13:57:51,"133 Queen Anne Ave N #302,Seattle, WA 98109",1000000,current,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""1"", ""Floor area"": ""138m"", ""Land area"": ""1105m"", ""Title type"": ""Freehold"", ""Garage"": ""1""}",https://www.realestate.co.nz/42439713/residential/sale/55-shelly-beach-road-saint-marys-bay,"https://mediaserver.realestate.co.nz/listings/42439713/f5db70079c7a1be30bb5771bb9bde267.crop.10x8.jpg?options=compress,blur"
,"819 Virginia St #2309,Seattle, WA 98101",,,"{""Apartment"": ""Apartment"", ""Bedroom"": ""1"", ""Bathroom"": ""1"", ""Floor area"": ""31m"", ""Title type"": ""Unit Title""}",https://www.realestate.co.nz/42439017/residential/sale/3e-2-eden-crescent-auckland-central,"https://mediaserver.realestate.co.nz/listings/42439017/116df8e32bb7504332c576dc222627d2.crop.10x8.jpg?options=compress,blur"
2019-10-11,"6414 High Point Dr SW,Seattle, WA 98126",1865000,history,"{""Townhouse"": ""Townhouse"", ""Bedroom"": ""3"", ""Bathroom"": ""2"", ""Title type"": ""Unit Title"", ""Garage"": ""2""}",https://www.realestate.co.nz/42439329/residential/sale/52-richards-avenue-forrest-hill,"https://mediaserver.realestate.co.nz/listings/42439329/2f89ef17186c050fb407bf724901362a.crop.10x8.jpg?options=compress,blur"
2018-07-23,"6414 High Point Dr SW,Seattle, WA 98126",1839000,history,"{""Townhouse"": ""Townhouse"", ""Bedroom"": ""3"", ""Bathroom"": ""2"", ""Title type"": ""Unit Title"", ""Garage"": ""2""}",https://www.realestate.co.nz/42439329/residential/sale/52-richards-avenue-forrest-hill,"https://mediaserver.realestate.co.nz/listings/42439329/2f89ef17186c050fb407bf724901362a.crop.10x8.jpg?options=compress,blur"
2006-07-31,"6414 High Point Dr SW,Seattle, WA 98126",835000,history,"{""Townhouse"": ""Townhouse"", ""Bedroom"": ""3"", ""Bathroom"": ""2"", ""Title type"": ""Unit Title"", ""Garage"": ""2""}",https://www.realestate.co.nz/42439329/residential/sale/52-richards-avenue-forrest-hill,"https://mediaserver.realestate.co.nz/listings/42439329/2f89ef17186c050fb407bf724901362a.crop.10x8.jpg?options=compress,blur"
