序号,链接,标题,图片链接,来源
0,https://www.redfin.com/WA/Seattle/151-N-79th-St-98103/home/496732,"151 N 79th St,Seattle, WA 98103","https://ssl.cdn-redfin.com/system_files/media/863697_JPG/item_49.jpg",1.html
1,https://www.redfin.com/WA/Seattle/133-Queen-Anne-Ave-N-98109/unit-302/home/67105,"133 Queen Anne Ave N #302,Seattle, WA 98109","https://ssl.cdn-redfin.com/system_files/media/862821_JPG/item_1.jpg",1.html
2,https://www.redfin.com/WA/Seattle/819-Virginia-St-98101/unit-2309/home/12318293,"819 Virginia St #2309,Seattle, WA 98101","https://ssl.cdn-redfin.com/system_files/media/840917_JPG/item_27.jpg",1.html
3,https://www.redfin.com/WA/Seattle/6414-High-Point-Dr-SW-98126/home/18661846,"6414 High Point Dr SW,Seattle, WA 98126","https://ssl.cdn-redfin.com/system_files/media/863790_JPG/item_51.jpg",1.html
4,https://www.redfin.com/WA/Seattle/11068-Occidental-Ave-S-98168/home/189514,"11068 Occidental Ave S,Seattle, WA 98168","https://ssl.cdn-redfin.com/system_files/media/863404_JPG/item_3.jpg",1.html
5,https://www.redfin.com/WA/Seattle/831-SW-96th-Pl-98106/home/8187827,"831 SW 96th Pl,Seattle, WA 98106","https://ssl.cdn-redfin.com/system_files/media/863155_JPG/item_37.jpg",1.html
6,https://www.redfin.com/WA/Seattle/7733-26th-Ave-SW-98106/home/472380,"7733 26th Ave SW,Seattle, WA 98106","https://ssl.cdn-redfin.com/system_files/media/863396_JPG/item_5.jpg",1.html
7,https://www.redfin.com/WA/Burien/10457-Des-Moines-Memorial-Dr-S-98168/unit-402-W/home/187982499,"10457 Des Moines Memorial Dr S Unit 402-W,Burien, WA 98168","https://ssl.cdn-redfin.com/system_files/media/863412_JPG/item_2.jpg",1.html
8,https://www.redfin.com/WA/Seattle/5177-42nd-Ave-S-98118/home/112863558,"5177 42nd Ave S,Seattle, WA 98118","https://ssl.cdn-redfin.com/system_files/media/863210_JPG/item_3.jpg",1.html
9,https://www.redfin.com/WA/Seattle/5036-36th-Ave-NE-98105/home/313601,"5036 36th Ave NE,Seattle, WA 98105","https://ssl.cdn-redfin.com/system_files/media/853374_JPG/item_48.jpg",1.html
