date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,Address,Latitude,Longitude,Year,Month
2014-05-02,313000,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,18810 Densmore Ave N,Shoreline,WA 98133,USA,18810 Densmore Ave N Shoreline WA 98133 USA,47.7657837,-122.3388601,2014,5
2014-05-02,2384000,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,1921,0,709 W Blaine St,Seattle,WA 98119,USA,709 W Blaine St Seattle WA 98119 USA,47.63452849999999,-122.3668965,2014,5
2014-05-02,342000,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,1966,0,26206-26214 143rd Ave SE,Kent,WA 98042,USA,26206-26214 143rd Ave SE Kent WA 98042 USA,47.36738889999999,-122.1505249,2014,5
2014-05-02,420000,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,0,857 170th Pl NE,Bellevue,WA 98008,USA,857 170th Pl NE Bellevue WA 98008 USA,47.618727,-122.1138588,2014,5
2014-05-02,550000,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,1976,1992,9105 170th Ave NE,Redmond,WA 98052,USA,9105 170th Ave NE Redmond WA 98052 USA,47.6830723,-122.1139713,2014,5
2014-05-02,490000,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938,1994,522 NE 88th St,Seattle,WA 98115,USA,522 NE 88th St Seattle WA 98115 USA,47.6921124,-122.3058749,2014,5
2014-05-02,335000,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,1976,0,2616 174th Ave NE,Redmond,WA 98052,USA,2616 174th Ave NE Redmond WA 98052 USA,47.6343833,-122.1074261,2014,5
2014-05-02,482000,4.0,2.5,2710,35868,2.0,0,0,3,2710,0,1989,0,23762 SE 253rd Pl,Maple Valley,WA 98038,USA,23762 SE 253rd Pl Maple Valley WA 98038 USA,47.3750419,-122.0220106,2014,5
2014-05-02,452500,3.0,2.5,2430,88426,1.0,0,0,4,1570,860,1985,0,46611-46625 SE 129th St,North Bend,WA 98045,USA,46611-46625 SE 129th St North Bend WA 98045 USA,47.4821494,-121.718084,2014,5
2014-05-02,640000,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,6811 55th Ave NE,Seattle,WA 98115,USA,6811 55th Ave NE Seattle WA 98115 USA,47.6780179,-122.2692144,2014,5
2014-05-02,463000,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,1948,1994,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA,Burke-Gilman Trail Lake Forest Park WA 98155 USA,47.7468005,-122.2837411,2014,5
2014-05-02,1400000,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,1988,3838-4098 44th Ave NE,Seattle,WA 98105,USA,3838-4098 44th Ave NE Seattle WA 98105 USA,47.656716,-122.279754,2014,5
2014-05-02,588500,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,1980,0,1833 220th Pl NE,Sammamish,WA 98074,USA,1833 220th Pl NE Sammamish WA 98074 USA,47.6267231,-122.0460548,2014,5
2014-05-02,365000,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,1955,2009,2504 SW Portland Ct,Seattle,WA 98106,USA,2504 SW Portland Ct Seattle WA 98106 USA,47.5333541,-122.364992,2014,5
2014-05-02,1200000,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,3534 46th Ave NE,Seattle,WA 98105,USA,3534 46th Ave NE Seattle WA 98105 USA,47.6550013,-122.2778372,2014,5
2014-05-02,242500,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,1965,0,14034 SE 201st St,Kent,WA 98042,USA,14034 SE 201st St Kent WA 98042 USA,47.4225222,-122.1531163,2014,5
2014-05-02,419000,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,1956,0,15424 SE 9th St,Bellevue,WA 98007,USA,15424 SE 9th St Bellevue WA 98007 USA,47.6022251,-122.1339632,2014,5
2014-05-02,367500,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,1997,0,11224 SE 306th Pl,Auburn,WA 98092,USA,11224 SE 306th Pl Auburn WA 98092 USA,47.3278367,-122.1910744,2014,5
2014-05-02,257950,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,1987,2000,1605 S 245th Pl,Des Moines,WA 98198,USA,1605 S 245th Pl Des Moines WA 98198 USA,47.38156799999999,-122.312904,2014,5
2014-05-02,275000,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,1983,2009,12425 415th Ave SE,North Bend,WA 98045,USA,12425 415th Ave SE North Bend WA 98045 USA,47.4880635,-121.7870555,2014,5
2014-05-02,750000,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,1923,0,3225 NE 92nd St,Seattle,WA 98115,USA,3225 NE 92nd St Seattle WA 98115 USA,47.6953597,-122.2921706,2014,5
2014-05-02,435000,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,1954,1979,3922 154th Ave SE,Bellevue,WA 98006,USA,3922 154th Ave SE Bellevue WA 98006 USA,47.5746142,-122.1349397,2014,5
2014-05-02,626000,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,2005,0,3140 Franklin Ave E,Seattle,WA 98102,USA,3140 Franklin Ave E Seattle WA 98102 USA,47.6498412,-122.3209093,2014,5
2014-05-02,612500,4.0,2.5,2730,12261,2.0,0,0,3,2730,0,1991,0,10212 NE 156th Pl,Bothell,WA 98011,USA,10212 NE 156th Pl Bothell WA 98011 USA,47.7417512,-122.2050576,2014,5
2014-05-02,495000,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,1959,1989,2021 NE 100th St,Seattle,WA 98125,USA,2021 NE 100th St Seattle WA 98125 USA,47.7010256,-122.3059126,2014,5
2014-05-02,285000,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,1987,0,27736 23rd Avenue South,Federal Way,WA 98003,USA,27736 23rd Avenue South Federal Way WA 98003 USA,47.3535951,-122.3032528,2014,5
2014-05-02,615000,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,0,8436-8438 41st Ave SW,Seattle,WA 98136,USA,8436-8438 41st Ave SW Seattle WA 98136 USA,47.527513,-122.383626,2014,5
2014-05-02,698000,4.0,2.25,2200,11250,1.5,0,0,5,1300,900,1920,0,1036 4th St,Kirkland,WA 98033,USA,1036 4th St Kirkland WA 98033 USA,47.6845507,-122.2010494,2014,5
2014-05-02,675000,5.0,2.5,2820,67518,2.0,0,0,3,2820,0,1979,2014,23525 SE 32nd Way,Issaquah,WA 98029,USA,23525 SE 32nd Way Issaquah WA 98029 USA,47.57946,-122.0252865,2014,5
2014-05-02,790000,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,1951,1999,3314 NW 75th St,Seattle,WA 98117,USA,3314 NW 75th St Seattle WA 98117 USA,47.6832759,-122.4001495,2014,5
2014-05-02,382500,4.0,1.75,1560,8700,1.0,0,0,4,1560,0,1967,0,14104 119th Ave NE,Kirkland,WA 98034,USA,14104 119th Ave NE Kirkland WA 98034 USA,47.7274452,-122.1812503,2014,5
2014-05-02,499950,4.0,2.5,2860,3345,2.0,0,0,3,2190,670,2004,2003,20120 137th Ave NE,Woodinville,WA 98072,USA,20120 137th Ave NE Woodinville WA 98072 USA,47.773513,-122.1580064,2014,5
2014-05-02,650000,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,1945,2010,7201-7399 55th Ave NE,Seattle,WA 98115,USA,7201-7399 55th Ave NE Seattle WA 98115 USA,47.6812233,-122.2689874,2014,5
2014-05-02,625000,4.0,2.5,2820,8408,2.0,0,0,3,2820,0,2014,0,17052 4th Ave NE,Shoreline,WA 98155,USA,17052 4th Ave NE Shoreline WA 98155 USA,47.7537742,-122.3250803,2014,5
2014-05-02,400000,4.0,2.5,3630,42884,1.5,0,0,3,2300,1330,1979,2014,5172-5198 Heather Ave SE,Auburn,WA 98092,USA,5172-5198 Heather Ave SE Auburn WA 98092 USA,47.26333990000001,-122.1908229,2014,5
2014-05-02,604000,3.0,2.5,3240,33151,2.0,0,2,3,3240,0,1995,0,30822 36th Ct SW,Federal Way,WA 98023,USA,30822 36th Ct SW Federal Way WA 98023 USA,47.3255873,-122.3778779,2014,5
2014-05-02,440000,2.0,1.0,800,4850,1.0,0,0,4,800,0,1944,0,4801-4899 6th Ave NW,Seattle,WA 98107,USA,4801-4899 6th Ave NW Seattle WA 98107 USA,47.6640238,-122.3640033,2014,5
2014-05-02,287200,3.0,3.0,1850,19966,1.0,0,0,4,1090,760,1992,0,23017 SE 281st Ct,Maple Valley,WA 98038,USA,23017 SE 281st Ct Maple Valley WA 98038 USA,47.34931520000001,-122.0340397,2014,5
2014-05-02,403000,3.0,2.0,1960,13100,1.0,0,2,5,1650,310,1957,0,17825 4th Ave SW,Normandy Park,WA 98166,USA,17825 4th Ave SW Normandy Park WA 98166 USA,47.4418678,-122.3402004,2014,5
2014-05-02,750000,3.0,2.5,2390,6550,1.0,0,2,4,1440,950,1955,2009,3628 59th Ave SW,Seattle,WA 98116,USA,3628 59th Ave SW Seattle WA 98116 USA,47.5713901,-122.4081735,2014,5
2014-05-02,335000,3.0,2.25,1580,16215,1.0,0,0,4,1580,0,1978,2000,4460 332nd Ave SE,Fall City,WA 98024,USA,4460 332nd Ave SE Fall City WA 98024 USA,47.564273,-121.8968897,2014,5
2014-05-02,260000,4.0,2.0,1480,8625,1.0,0,0,4,1480,0,1974,0,2019 Aberdeen Pl SE,Renton,WA 98055,USA,2019 Aberdeen Pl SE Renton WA 98055 USA,47.4620172,-122.1927955,2014,5
2014-05-02,308500,2.0,1.0,850,6174,1.0,0,0,4,850,0,1950,1983,121 NE 147th St,Shoreline,WA 98155,USA,121 NE 147th St Shoreline WA 98155 USA,47.7351897,-122.3279333,2014,5
2014-05-02,439950,3.0,2.5,1770,2875,2.0,0,0,3,1770,0,1990,2009,4458 51st Ave SW,Seattle,WA 98116,USA,4458 51st Ave SW Seattle WA 98116 USA,47.563128,-122.39718,2014,5
2014-05-02,235000,2.0,1.0,1210,9400,1.0,0,0,2,1210,0,1949,0,7542 21st Ave SW,Seattle,WA 98106,USA,7542 21st Ave SW Seattle WA 98106 USA,47.53423,-122.3601838,2014,5
2014-05-02,315000,3.0,1.0,1160,9180,1.0,0,0,3,1160,0,1968,1997,15804 198th Pl NE,Woodinville,WA 98077,USA,15804 198th Pl NE Woodinville WA 98077 USA,47.7426723,-122.0722997,2014,5
2014-05-02,437500,3.0,2.25,1970,35100,2.0,0,0,4,1970,0,1977,0,26069 SE 154th St,Issaquah,WA 98027,USA,26069 SE 154th St Issaquah WA 98027 USA,47.46352,-121.9908061,2014,5
2014-05-02,407500,3.0,2.5,1930,10460,2.0,0,0,3,1930,0,1996,0,4314 NE 6th Pl,Renton,WA 98059,USA,4314 NE 6th Pl Renton WA 98059 USA,47.4938239,-122.1610827,2014,5
2014-05-02,445700,3.0,2.5,1270,1180,3.0,0,0,3,1270,0,2001,0,2640 NW 56th St,Seattle,WA 98107,USA,2640 NW 56th St Seattle WA 98107 USA,47.66968259999999,-122.3919849,2014,5
2014-05-02,838000,4.0,2.5,3310,42998,2.0,0,0,3,3310,0,2001,0,15712 NE 136th Pl,Redmond,WA 98052,USA,15712 NE 136th Pl Redmond WA 98052 USA,47.7231903,-122.130783,2014,5
