price(1000$),bedrooms,bathrooms,sqm_living,sqm_lot,floors,waterfront,view,condition,sqm_above,sqm_basement,yr_built,yr_renovated,Address,Latitude,Longitude,Month,living_ratio
313.0,3.0,1.5,124.62,735.816,1.5,0,0,3,124.62,0.0,59,9,18810 Densmore Ave N Shoreline WA 98133 USA,47.7657837,-122.3388601,5,0.16936299292214357
2384.0,5.0,2.5,339.45,841.65,2.0,0,4,5,313.41,26.04,93,93,709 W Blaine St Seattle WA 98119 USA,47.63452849999999,-122.3668965,5,0.40331491712707185
342.0,3.0,2.0,179.49,1111.071,1.0,0,0,4,179.49,0.0,48,48,26206-26214 143rd Ave SE Kent WA 98042 USA,47.36738889999999,-122.1505249,5,0.16154683184062946
420.0,3.0,2.25,186.0,746.79,1.0,0,0,4,93.0,93.0,51,51,857 170th Pl NE Bellevue WA 98008 USA,47.618727,-122.1138588,5,0.24906600249066005
550.0,4.0,2.5,180.42,976.5,1.0,0,0,4,106.02,74.4,38,22,9105 170th Ave NE Redmond WA 98052 USA,47.6830723,-122.1139713,5,0.18476190476190474
490.0,2.0,1.0,81.84,593.34,1.0,0,0,3,81.84,0.0,76,20,522 NE 88th St Seattle WA 98115 USA,47.6921124,-122.3058749,5,0.13793103448275862
335.0,2.0,2.0,125.55,238.07999999999998,1.0,0,0,3,125.55,0.0,38,38,2616 174th Ave NE Redmond WA 98052 USA,47.6343833,-122.1074261,5,0.52734375
482.0,4.0,2.5,252.03,3335.724,2.0,0,0,3,252.03,0.0,25,25,23762 SE 253rd Pl Maple Valley WA 98038 USA,47.3750419,-122.0220106,5,0.07555481208876993
452.5,3.0,2.5,225.99,8223.618,1.0,0,0,4,146.01,79.98,29,29,46611-46625 SE 129th St North Bend WA 98045 USA,47.4821494,-121.718084,5,0.027480605251849005
640.0,4.0,2.0,141.35999999999999,576.6,1.5,0,0,3,141.35999999999999,0.0,69,4,6811 55th Ave NE Seattle WA 98115 USA,47.6780179,-122.2692144,5,0.2451612903225806
463.0,3.0,1.75,159.03,680.76,1.0,0,0,3,159.03,0.0,66,20,Burke-Gilman Trail Lake Forest Park WA 98155 USA,47.7468005,-122.2837411,5,0.2336065573770492
1400.0,4.0,2.5,271.56,372.0,1.5,0,0,5,177.63,93.92999999999999,105,26,3838-4098 44th Ave NE Seattle WA 98105 USA,47.656716,-122.279754,5,0.73
588.5,3.0,1.75,216.69,1384.956,1.0,0,0,3,183.21,33.48,34,34,1833 220th Pl NE Sammamish WA 98074 USA,47.6267231,-122.0460548,5,0.15645984421165726
365.0,3.0,1.0,101.37,598.455,1.0,0,0,4,101.37,0.0,59,5,2504 SW Portland Ct Seattle WA 98106 USA,47.5333541,-122.364992,5,0.16938616938616938
1200.0,5.0,2.75,270.63,881.64,1.5,0,0,3,270.63,0.0,75,45,3534 46th Ave NE Seattle WA 98105 USA,47.6550013,-122.2778372,5,0.3069620253164557
242.5,3.0,1.5,111.6,903.96,1.0,0,0,4,111.6,0.0,49,49,14034 SE 201st St Kent WA 98042 USA,47.4225222,-122.1531163,5,0.12345679012345678
419.0,3.0,1.5,146.01,623.1,1.0,0,0,4,146.01,0.0,58,58,15424 SE 9th St Bellevue WA 98007 USA,47.6022251,-122.1339632,5,0.2343283582089552
367.5,4.0,3.0,289.23,672.483,2.0,0,0,3,289.23,0.0,17,17,11224 SE 306th Pl Auburn WA 98092 USA,47.3278367,-122.1910744,5,0.4300926566173421
257.95,3.0,1.75,127.41,544.794,1.0,0,0,3,127.41,0.0,27,14,1605 S 245th Pl Des Moines WA 98198 USA,47.38156799999999,-122.312904,5,0.23386821440764766
275.0,3.0,1.5,109.74,955.761,1.0,0,0,3,109.74,0.0,31,5,12425 415th Ave SE North Bend WA 98045 USA,47.4880635,-121.7870555,5,0.11481949985404301
750.0,3.0,1.75,208.32,983.754,2.0,0,0,5,144.15,64.17,91,91,3225 NE 92nd St Seattle WA 98115 USA,47.6953597,-122.2921706,5,0.21176025713745508
435.0,4.0,1.0,134.85,818.4,1.0,0,0,4,134.85,0.0,60,35,3922 154th Ave SE Bellevue WA 98006 USA,47.5746142,-122.1349397,5,0.16477272727272727
612.5,4.0,2.5,253.89,1140.273,2.0,0,0,3,253.89,0.0,23,23,10212 NE 156th Pl Bothell WA 98011 USA,47.7417512,-122.2050576,5,0.22265720577440665
495.0,4.0,1.75,148.8,593.34,1.0,0,0,3,105.09,43.71,55,25,2021 NE 100th St Seattle WA 98125 USA,47.7010256,-122.3059126,5,0.25078369905956116
285.0,3.0,2.5,194.37,1007.562,1.0,0,0,4,126.48,67.89,27,27,27736 23rd Avenue South Federal Way WA 98003 USA,47.3535951,-122.3032528,5,0.19291120546427912
615.0,3.0,1.75,219.48,678.063,1.0,0,0,4,126.48,93.0,66,66,8436-8438 41st Ave SW Seattle WA 98136 USA,47.527513,-122.383626,5,0.3236867370731038
698.0,4.0,2.25,204.6,1046.25,1.5,0,0,5,120.9,83.7,94,94,1036 4th St Kirkland WA 98033 USA,47.6845507,-122.2010494,5,0.19555555555555554
675.0,5.0,2.5,262.26,6279.174,2.0,0,0,3,262.26,0.0,35,0,23525 SE 32nd Way Issaquah WA 98029 USA,47.57946,-122.0252865,5,0.04176664000710922
790.0,3.0,2.5,241.8,441.75,1.0,0,0,4,158.1,83.7,63,15,3314 NW 75th St Seattle WA 98117 USA,47.6832759,-122.4001495,5,0.5473684210526316
382.5,4.0,1.75,145.08,809.1,1.0,0,0,4,145.08,0.0,47,47,14104 119th Ave NE Kirkland WA 98034 USA,47.7274452,-122.1812503,5,0.1793103448275862
499.95,4.0,2.5,265.98,311.085,2.0,0,0,3,203.67,62.31,10,11,20120 137th Ave NE Woodinville WA 98072 USA,47.773513,-122.1580064,5,0.8550074738415546
650.0,4.0,2.0,169.26,465.0,1.5,0,1,3,152.52,16.74,69,4,7201-7399 55th Ave NE Seattle WA 98115 USA,47.6812233,-122.2689874,5,0.364
625.0,4.0,2.5,262.26,781.944,2.0,0,0,3,262.26,0.0,0,0,17052 4th Ave NE Shoreline WA 98155 USA,47.7537742,-122.3250803,5,0.33539486203615604
400.0,4.0,2.5,337.59,3988.212,1.5,0,0,3,213.9,123.69,35,0,5172-5198 Heather Ave SE Auburn WA 98092 USA,47.26333990000001,-122.1908229,5,0.08464695457513291
604.0,3.0,2.5,301.32,3083.043,2.0,0,2,3,301.32,0.0,19,19,30822 36th Ct SW Federal Way WA 98023 USA,47.3255873,-122.3778779,5,0.0977346083074417
440.0,2.0,1.0,74.4,451.05,1.0,0,0,4,74.4,0.0,70,70,4801-4899 6th Ave NW Seattle WA 98107 USA,47.6640238,-122.3640033,5,0.16494845360824742
287.2,3.0,3.0,172.05,1856.838,1.0,0,0,4,101.37,70.67999999999999,22,22,23017 SE 281st Ct Maple Valley WA 98038 USA,47.34931520000001,-122.0340397,5,0.09265751778022639
403.0,3.0,2.0,182.28,1218.3,1.0,0,2,5,153.45,28.83,57,57,17825 4th Ave SW Normandy Park WA 98166 USA,47.4418678,-122.3402004,5,0.14961832061068703
750.0,3.0,2.5,222.27,609.15,1.0,0,2,4,133.92,88.35,59,5,3628 59th Ave SW Seattle WA 98116 USA,47.5713901,-122.4081735,5,0.36488549618320615
335.0,3.0,2.25,146.94,1507.995,1.0,0,0,4,146.94,0.0,36,14,4460 332nd Ave SE Fall City WA 98024 USA,47.564273,-121.8968897,5,0.09744064138143695
260.0,4.0,2.0,137.64,802.125,1.0,0,0,4,137.64,0.0,40,40,2019 Aberdeen Pl SE Renton WA 98055 USA,47.4620172,-122.1927955,5,0.1715942028985507
308.5,2.0,1.0,79.05,574.182,1.0,0,0,4,79.05,0.0,64,31,121 NE 147th St Shoreline WA 98155 USA,47.7351897,-122.3279333,5,0.137674117265954
439.95,3.0,2.5,164.60999999999999,267.375,2.0,0,0,3,164.60999999999999,0.0,24,5,4458 51st Ave SW Seattle WA 98116 USA,47.563128,-122.39718,5,0.6156521739130434
235.0,2.0,1.0,112.53,874.2,1.0,0,0,2,112.53,0.0,65,65,7542 21st Ave SW Seattle WA 98106 USA,47.53423,-122.3601838,5,0.12872340425531914
315.0,3.0,1.0,107.88,853.74,1.0,0,0,3,107.88,0.0,46,17,15804 198th Pl NE Woodinville WA 98077 USA,47.7426723,-122.0722997,5,0.12636165577342048
437.5,3.0,2.25,183.21,3264.3,2.0,0,0,4,183.21,0.0,37,37,26069 SE 154th St Issaquah WA 98027 USA,47.46352,-121.9908061,5,0.05612535612535612
407.5,3.0,2.5,179.49,972.78,2.0,0,0,3,179.49,0.0,18,18,4314 NE 6th Pl Renton WA 98059 USA,47.4938239,-122.1610827,5,0.18451242829827919
838.0,4.0,2.5,307.83,3998.814,2.0,0,0,3,307.83,0.0,13,13,15712 NE 136th Pl Redmond WA 98052 USA,47.7231903,-122.130783,5,0.07698032466626355
630.0,4.0,2.75,252.03,3466.761,2.0,0,0,3,252.03,0.0,14,14,26429 SE 154th Pl Issaquah WA 98027 USA,47.4634486,-121.9873405,5,0.07269898328728171
550.0,3.0,1.75,270.63,3273.6,1.5,0,0,3,270.63,0.0,35,0,3923 229th Pl SE Sammamish WA 98075 USA,47.5746867,-122.0346475,5,0.08267045454545455
805.0,3.0,2.0,252.03,418.5,1.5,0,0,4,174.84,77.19,85,85,6222 30th Ave NE Seattle WA 98115 USA,47.6746781,-122.2950956,5,0.6022222222222222
284.0,3.0,1.75,167.4,2148.579,1.0,0,0,3,167.4,0.0,46,17,32418 NE 50th St Carnation WA 98014 USA,47.651715,-121.9061276,5,0.07791195948578106
470.0,5.0,2.5,205.53,897.915,1.0,0,0,3,135.78,69.75,38,38,19334 89th Ave NE Bothell WA 98011 USA,47.7697716,-122.2222646,5,0.22889694458829624
430.0,4.0,1.5,178.56,930.0,1.0,0,0,4,99.51,79.05,60,35,4071 156th Ave SE Bellevue WA 98006 USA,47.57248569999999,-122.1331404,5,0.192
491.5,4.0,1.75,203.67,11667.036,1.0,0,2,3,203.67,0.0,46,17,36850 204th Ave SE Auburn WA 98092 USA,47.2706277,-122.0691828,5,0.017456875936613204
785.0,5.0,3.25,340.38,1115.535,2.0,0,2,3,340.38,0.0,8,8,7425 Snowberry Ave SE Snoqualmie WA 98065 USA,47.5336787,-121.8597116,5,0.30512713630679444
555.0,4.0,2.5,307.83,604.5,2.0,0,0,3,307.83,0.0,2,102,35229 SE Terrace St Snoqualmie WA 98065 USA,47.5150112,-121.8699222,5,0.5092307692307692
459.99,3.0,2.5,249.24,515.127,2.0,0,0,3,249.24,0.0,1,91,13800 453rd Ave SE North Bend WA 98045 USA,47.4755672,-121.7348541,5,0.48384184870915337
625.0,4.0,3.25,253.89,5023.302,1.0,0,0,3,145.08,108.81,7,7,9927 174th Ave SE Renton WA 98059 USA,47.51327149999999,-122.1098067,5,0.05054245195690006
300.0,3.0,2.5,236.22,469.65,2.0,0,0,3,236.22,0.0,8,8,29734 215th Terrace SE Kent WA 98042 USA,47.3358669,-122.0549459,5,0.502970297029703
625.0,4.0,2.75,271.56,614.265,2.0,0,0,3,271.56,0.0,2,102,5608 NE 5th Cir Renton WA 98059 USA,47.4910248,-122.143998,5,0.4420893262679788
553.0,2.0,1.0,83.7,465.0,1.0,0,0,3,83.7,0.0,70,70,8053 29th Ave NW Seattle WA 98117 USA,47.6883338,-122.3947028,5,0.18
379.88,3.0,2.5,153.45,1307.022,1.0,0,0,4,105.09,48.36,28,28,13256 242nd Pl SE Issaquah WA 98027 USA,47.482009,-122.0167927,5,0.11740429770883734
310.0,3.0,1.0,93.92999999999999,924.885,1.0,0,0,4,93.92999999999999,0.0,41,41,7528 N Fork Rd SE Snoqualmie WA 98065 USA,47.53211959999999,-121.7628864,5,0.10155857214680743
775.0,2.0,2.5,249.24,687.456,1.0,0,0,3,249.24,0.0,10,11,13134 234th Ct NE Redmond WA 98053 USA,47.7169084,-122.0262098,5,0.3625541125541126
365.0,3.0,2.5,204.6,683.55,1.0,0,0,5,146.01,58.589999999999996,26,26,13420 SE 182nd St Renton WA 98058 USA,47.4395341,-122.1609594,5,0.29931972789115646
331.95,4.0,2.5,235.29,923.769,2.0,0,2,3,186.93,48.36,24,5,925 48th Ct Auburn WA 98092 USA,47.265438,-122.2160703,5,0.2547065337763012
783.5,3.0,2.5,265.05,663.09,2.0,0,0,3,185.07,79.98,34,34,151 Euclid Ave Seattle WA 98122 USA,47.6029883,-122.2889888,5,0.3997194950911641
628.0,4.0,2.0,212.04,558.93,1.0,0,0,3,106.02,106.02,114,9,205-206 Euclid Ave Seattle WA 98122 USA,47.6033774,-122.2891122,5,0.3793677204658902
560.0,3.0,2.5,176.7,813.192,2.0,0,0,3,176.7,0.0,27,14,22314 NE 11th Pl Sammamish WA 98074 USA,47.61996,-122.042937,5,0.21729185727355899
900.0,3.0,1.0,123.69,7251.396,1.0,0,0,3,123.69,0.0,86,60,13615 NE 100th St Kirkland WA 98033 USA,47.689213,-122.1590937,5,0.017057405222387523
831.0,4.0,3.0,201.81,372.0,2.0,0,0,4,149.73,52.08,32,3,120 31st Ave E Seattle WA 98112 USA,47.6195291,-122.2920521,5,0.5425
780.0,4.0,2.5,253.89,956.133,2.0,0,2,3,253.89,0.0,18,18,23140 NE 14th Ct Sammamish WA 98074 USA,47.6226887,-122.0291119,5,0.2655383717537204
755.0,4.0,2.5,197.16,948.786,1.0,0,0,4,150.66,46.5,54,13,12645 SE 27th St Bellevue WA 98005 USA,47.585775,-122.169997,5,0.20780239168790435
