price(1000$),bedrooms,bathrooms,sqm_living,sqm_lot,floors,waterfront,view,condition,sqm_above,sqm_basement,yr_built,yr_renovated,Address,Latitude,Longitude,Month,living_ratio,index
313,3,1.5,124.62,735.816,1.5,0,0,3,124.62,0,59,9,18810 Densmore Ave N Shoreline WA 98133 USA,47.7657837,-122.3388601,5,0.169362993,0
2384,5,2.5,339.45,841.65,2,0,4,5,313.41,26.04,93,93,709 W Blaine St Seattle WA 98119 USA,47.6345285,-122.3668965,5,0.403314917,1
342,3,2,179.49,1111.071,1,0,0,4,179.49,0,48,48,26206-26214 143rd Ave SE Kent WA 98042 USA,47.3673889,-122.1505249,5,0.161546832,2
420,3,2.25,186,746.79,1,0,0,4,93,93,51,51,857 170th Pl NE Bellevue WA 98008 USA,47.618727,-122.1138588,5,0.249066002,3
550,4,2.5,180.42,976.5,1,0,0,4,106.02,74.4,38,22,9105 170th Ave NE Redmond WA 98052 USA,47.6830723,-122.1139713,5,0.184761905,4
490,2,1,81.84,593.34,1,0,0,3,81.84,0,76,20,522 NE 88th St Seattle WA 98115 USA,47.6921124,-122.3058749,5,0.137931034,5
335,2,2,125.55,238.08,1,0,0,3,125.55,0,38,38,2616 174th Ave NE Redmond WA 98052 USA,47.6343833,-122.1074261,5,0.52734375,6
482,4,2.5,252.03,3335.724,2,0,0,3,252.03,0,25,25,23762 SE 253rd Pl Maple Valley WA 98038 USA,47.3750419,-122.0220106,5,0.075554812,7
452.5,3,2.5,225.99,8223.618,1,0,0,4,146.01,79.98,29,29,46611-46625 SE 129th St North Bend WA 98045 USA,47.4821494,-121.718084,5,0.027480605,8
640,4,2,141.36,576.6,1.5,0,0,3,141.36,0,69,4,6811 55th Ave NE Seattle WA 98115 USA,47.6780179,-122.2692144,5,0.24516129,9
463,3,1.75,159.03,680.76,1,0,0,3,159.03,0,66,20,Burke-Gilman Trail Lake Forest Park WA 98155 USA,47.7468005,-122.2837411,5,0.233606557,10
1400,4,2.5,271.56,372,1.5,0,0,5,177.63,93.93,105,26,3838-4098 44th Ave NE Seattle WA 98105 USA,47.656716,-122.279754,5,0.73,11
588.5,3,1.75,216.69,1384.956,1,0,0,3,183.21,33.48,34,34,1833 220th Pl NE Sammamish WA 98074 USA,47.6267231,-122.0460548,5,0.156459844,12
365,3,1,101.37,598.455,1,0,0,4,101.37,0,59,5,2504 SW Portland Ct Seattle WA 98106 USA,47.5333541,-122.364992,5,0.169386169,13
1200,5,2.75,270.63,881.64,1.5,0,0,3,270.63,0,75,45,3534 46th Ave NE Seattle WA 98105 USA,47.6550013,-122.2778372,5,0.306962025,14
242.5,3,1.5,111.6,903.96,1,0,0,4,111.6,0,49,49,14034 SE 201st St Kent WA 98042 USA,47.4225222,-122.1531163,5,0.12345679,15
419,3,1.5,146.01,623.1,1,0,0,4,146.01,0,58,58,15424 SE 9th St Bellevue WA 98007 USA,47.6022251,-122.1339632,5,0.234328358,16
367.5,4,3,289.23,672.483,2,0,0,3,289.23,0,17,17,11224 SE 306th Pl Auburn WA 98092 USA,47.3278367,-122.1910744,5,0.430092657,17
257.95,3,1.75,127.41,544.794,1,0,0,3,127.41,0,27,14,1605 S 245th Pl Des Moines WA 98198 USA,47.381568,-122.312904,5,0.233868214,18
275,3,1.5,109.74,955.761,1,0,0,3,109.74,0,31,5,12425 415th Ave SE North Bend WA 98045 USA,47.4880635,-121.7870555,5,0.1148195,19
